,city,euclid,network,cognitive,f_segment,f_landmarks,f_isections,f_turns,f_config,f_locations
0,Buenos Aires,1828.6717401424833,2388.08,6343.8521553072005,393.9306000000006,1669.2063600000001,89.02433920000021,2270.1206496000004,238.36266820799938,-704.8724617008002
1,Buenos Aires,995.6789773201766,1155.49,2592.2152396799997,94.61379999999986,250.02075999999988,0.0,900.074736,192.01594367999996,0.0
2,Buenos Aires,944.8293402027081,926.995,5115.4286084999985,485.1315999999998,1235.6107749999999,0.0,1059.0949499999997,1408.5962834999991,0.0
3,Buenos Aires,997.6724938383142,1039.7309999999998,3673.6218765000003,560.9757000000002,400.17667499999993,0.0,1400.6183625000003,272.1201390000001,0.0
4,Buenos Aires,627.950723956535,794.948,1524.8349293449999,77.21479999999997,283.45290999999986,0.0,346.6847130000001,22.534506344999954,0.0
5,Buenos Aires,375.4031711965476,520.0709999999999,935.89520899875,10.402900000000045,92.83293249999997,0.0,186.99204974999998,40.514944112500075,85.08138263625005
6,Buenos Aires,934.4755660591002,920.5039999999999,1825.7107881599995,304.4763999999998,183.74705999999992,0.0,281.7454919999998,135.23783616000014,0.0
7,Buenos Aires,726.2850822959742,902.852,1790.0225262562503,288.59500000000014,29.786174999999957,122.12331750000021,403.0069477500001,43.659086006249936,0.0
8,Buenos Aires,2381.3996903208845,3063.685000000001,21137.488696618213,442.5915799999989,4645.8164685,578.7986064434999,8730.8916549435,6024.315241911016,-2348.6098551798023
9,Buenos Aires,798.4745358658405,1033.8990000000001,3432.4893935475,261.83230000000003,809.8320624999999,84.22253450000017,1094.8929485000003,147.81054804749965,0.0
10,Buenos Aires,1538.9506491734453,1894.9629999999997,4917.236009805,350.31179999999995,1291.03301,0.0,1768.1539049999997,159.1338514500003,-546.3595566449994
11,Buenos Aires,97.30820899346516,109.942,175.9623404,29.400999999999996,3.4835749999999734,0.0,0.0,17.139189000000016,15.99657640000001
12,Buenos Aires,1941.183598328247,2306.5209999999993,7559.154510815252,303.7271000000005,1500.8926575000005,0.0,3288.912606000001,999.0072040725008,-839.9060567572496
13,Buenos Aires,1039.0374165694705,1282.6870000000006,2638.2079188608,64.34909999999923,134.70361000000003,59.269588399999975,924.6055790400001,172.5930414208001,0.0
14,Buenos Aires,438.2504849587459,594.6909999999999,902.6184041325,61.82439999999997,82.06442500000003,7.3857982499999935,74.59656232500004,0.0,82.05621855750007
15,Buenos Aires,1344.338183287427,1738.148,5222.638325196602,168.03430000000048,905.4365925000002,196.8133224750004,1805.0593289850008,409.14678123659996,0.0
16,Buenos Aires,1480.4782589713175,1666.3780000000002,5627.796836457603,293.6472000000001,1127.0144900000007,246.96317520000048,2000.4017191200014,293.3922521375998,0.0
17,Buenos Aires,2235.766477420255,2855.947,13301.2784723049,541.4650000000001,2548.059,422.12844099999984,7641.119329200001,770.4795323609997,-1477.9198302560999
18,Buenos Aires,1183.924220727828,1523.21,5851.388993520002,220.45440000000008,697.46576,671.3107940000004,1867.464572400001,871.4834671200006,0.0
19,Buenos Aires,1736.5952700197683,1712.1840000000002,3043.16807798475,289.5019,500.4214749999999,25.02107375000014,505.42568974999995,348.7437259274998,-338.1297864427497
20,Buenos Aires,496.5393136137309,591.454,795.660712,37.526800000000094,94.3471199999999,0.0,0.0,0.0,72.33279200000004
21,Buenos Aires,1742.0660228321735,2186.3160000000003,6374.655793008676,317.34699999999975,1189.2399250000003,36.929029249999985,2983.8655634000006,369.2533634707497,-708.2950881120751
22,Buenos Aires,144.75425858619707,219.74400000000003,439.825470084,76.83019999999993,14.828710000000001,0.0,62.28058199999998,26.15784444000002,39.98413364400005
23,Buenos Aires,798.3038250171602,997.15,1455.4478218104005,12.752900000000068,100.99029000000019,66.6535914000001,235.50935628000002,42.39168413040011,0.0
24,Buenos Aires,1149.287704321366,1171.507,3240.919515678975,223.28230000000008,592.7854525,258.3847178249998,673.7878410975,321.1722042564752,0.0
25,Buenos Aires,1153.4864583350716,1494.042,7346.911958323939,453.96490000000017,1217.5043125,528.2605111420007,2585.640206549401,1067.5000281325374,0.0
26,Buenos Aires,618.967971291301,724.5089999999999,1745.6985351877497,71.3306,298.43984999999986,10.94279449999999,331.56667335,308.90961733775,0.0
27,Buenos Aires,135.07778542295677,195.64299999999997,226.10216956249994,0.0,4.891074999999972,0.0,0.0,5.013351874999984,20.55474268750001
28,Buenos Aires,503.1157295129438,500.53799999999995,609.7981536,-9.55719999999991,0.0,0.0,98.19615999999996,20.62119359999997,0.0
29,Buenos Aires,1646.5614508968501,2195.7100000000005,8686.020944240645,218.52599999999984,1810.6770000000001,344.75290080000104,2741.7995404800013,2339.668941209602,-965.1134382489599
30,Buenos Aires,1698.9444125893438,1873.7520000000002,7347.519028015226,568.6578999999995,2564.530394999999,302.9198878474999,2654.930091423749,199.11975685678044,-816.3910031128025
31,Buenos Aires,1816.7946481555744,2280.1459999999997,8313.40995654488,696.0486000000005,1860.1216250000002,241.81581125000048,3554.692425375002,604.2977123137516,-923.7122173938751
32,Buenos Aires,1652.7993299159612,1862.9609999999996,7051.808059472925,348.95510000000036,1658.9370749999998,274.830575425,3316.5470003399996,373.11153753825056,-783.5342288303245
33,Buenos Aires,1157.6892030759852,1278.2379999999996,4046.8686331488007,427.94520000000057,1535.5648800000001,32.41748080000025,654.8331121599999,117.86996018880018,0.0
34,Buenos Aires,587.5196032331996,748.619,1353.01758592,96.17219999999998,337.91648,47.308307199999945,123.00159872000017,0.0,0.0
